Lon Lat Count
130.095 47.1658 0
130.095 47.4643 0
130.095 47.7629 0
130.095 48.0615 0
130.095 48.3601 0
130.095 48.6586 0
130.095 48.9572 0
130.095 49.2558 0
130.095 49.5544 0
130.095 49.8529 0
130.408 30.1471 0
130.408 30.4456 45
130.408 30.7442 32
130.408 31.0428 74
130.408 31.3414 86
130.408 31.6399 219
130.408 31.9385 230
130.408 32.2371 129
130.408 32.5357 252
130.408 32.8342 275
130.408 33.1328 229
130.408 33.4314 86
130.408 33.7299 89
130.408 34.0285 40
130.408 34.3271 36
130.408 34.6257 5
130.408 34.9242 0
130.408 35.2228 0
130.408 35.5214 0
130.408 35.82 0
130.408 36.1185 0
130.408 36.4171 0
130.408 36.7157 0
130.408 37.0143 0
130.408 37.3128 0
130.408 37.6114 0
130.408 37.91 0
130.408 38.2086 0
130.408 38.5071 0
130.408 38.8057 0
130.408 39.1043 0
130.408 39.4029 0
130.408 39.7014 0
130.408 40 0
130.408 40.2986 0
130.408 40.5971 0
130.408 40.8957 0
130.408 41.1943 0
130.408 41.4929 0
130.408 41.7914 0
130.408 42.09 0
130.408 42.3886 0
130.408 42.6872 0
130.408 42.9857 0
130.408 43.2843 0
130.408 43.5829 0
130.408 43.8815 0
130.408 44.18 0
130.408 44.4786 0
130.408 44.7772 0
130.408 45.0758 0
130.408 45.3743 0
130.408 45.6729 0
130.408 45.9715 0
130.408 46.2701 0
130.408 46.5686 0
130.408 46.8672 0
130.408 47.1658 0
130.408 47.4643 0
130.408 47.7629 0
130.408 48.0615 0
130.408 48.3601 0
130.408 48.6586 0
130.408 48.9572 0
130.408 49.2558 0
130.408 49.5544 0
130.408 49.8529 0
130.722 30.1471 0
130.722 30.4456 15
130.722 30.7442 99
130.722 31.0428 163
130.722 31.3414 270
130.722 31.6399 390
130.722 31.9385 247
130.722 32.2371 205
130.722 32.5357 178
130.722 32.8342 292
130.722 33.1328 245
130.722 33.4314 161
130.722 33.7299 100
130.722 34.0285 47
130.722 34.3271 55
130.722 34.6257 25
130.722 34.9242 0
130.722 35.2228 0
130.722 35.5214 0
130.722 35.82 0
130.722 36.1185 0
130.722 36.4171 0
130.722 36.7157 0
130.722 37.0143 0
130.722 37.3128 0
130.722 37.6114 0
130.722 37.91 0
130.722 38.2086 0
130.722 38.5071 0
130.722 38.8057 0
130.722 39.1043 0
130.722 39.4029 0
130.722 39.7014 0
130.722 40 0
130.722 40.2986 0
130.722 40.5971 0
130.722 40.8957 0
130.722 41.1943 0
130.722 41.4929 0
130.722 41.7914 0
130.722 42.09 0
130.722 42.3886 0
130.722 42.6872 0
130.722 42.9857 0
130.722 43.2843 0
130.722 43.5829 0
130.722 43.8815 0
130.722 44.18 0
130.722 44.4786 0
130.722 44.7772 0
130.722 45.0758 0
130.722 45.3743 0
130.722 45.6729 0
130.722 45.9715 0
130.722 46.2701 0
130.722 46.5686 0
130.722 46.8672 0
130.722 47.1658 0
130.722 47.4643 0
130.722 47.7629 0
130.722 48.0615 0
130.722 48.3601 0
130.722 48.6586 0
130.722 48.9572 0
130.722 49.2558 0
130.722 49.5544 0
130.722 49.8529 0
131.035 30.1471 0
131.035 30.4456 30
131.035 30.7442 172
131.035 31.0428 111
131.035 31.3414 188
131.035 31.6399 184
131.035 31.9385 288
131.035 32.2371 313
131.035 32.5357 380
131.035 32.8342 360
131.035 33.1328 395
131.035 33.4314 310
131.035 33.7299 181
131.035 34.0285 47
131.035 34.3271 64
131.035 34.6257 37
131.035 34.9242 10
131.035 35.2228 0
131.035 35.5214 0
131.035 35.82 0
131.035 36.1185 0
131.035 36.4171 0
131.035 36.7157 0
131.035 37.0143 0
131.035 37.3128 0
131.035 37.6114 0
131.035 37.91 0
131.035 38.2086 0
131.035 38.5071 0
131.035 38.8057 0
131.035 39.1043 0
131.035 39.4029 0
131.035 39.7014 0
131.035 40 0
131.035 40.2986 0
131.035 40.5971 0
131.035 40.8957 0
131.035 41.1943 0
131.035 41.4929 0
131.035 41.7914 0
131.035 42.09 0
131.035 42.3886 0
131.035 42.6872 0
131.035 42.9857 0
131.035 43.2843 0
131.035 43.5829 0
131.035 43.8815 0
131.035 44.18 0
131.035 44.4786 0
131.035 44.7772 0
131.035 45.0758 0
131.035 45.3743 0
131.035 45.6729 0
131.035 45.9715 0
131.035 46.2701 0
131.035 46.5686 0
131.035 46.8672 0
131.035 47.1658 0
131.035 47.4643 0
131.035 47.7629 0
131.035 48.0615 0
131.035 48.3601 0
131.035 48.6586 0
131.035 48.9572 0
131.035 49.2558 0
131.035 49.5544 0
131.035 49.8529 0
131.349 30.1471 0
131.349 30.4456 0
131.349 30.7442 53
131.349 31.0428 180
131.349 31.3414 236
131.349 31.6399 274
131.349 31.9385 301
131.349 32.2371 388
131.349 32.5357 385
131.349 32.8342 309
131.349 33.1328 315
131.349 33.4314 236
131.349 33.7299 378
131.349 34.0285 159
131.349 34.3271 83
131.349 34.6257 65
131.349 34.9242 29
131.349 35.2228 0
131.349 35.5214 0
131.349 35.82 0
131.349 36.1185 0
131.349 36.4171 0
131.349 36.7157 0
131.349 37.0143 0
131.349 37.3128 0
131.349 37.6114 0
131.349 37.91 0
