#depth variance  VR       nsta
  5  1.745e-05  2.237e+01   6
#mxx        mxy        mxz        myy        myz        mzz
 8.510e+23  1.147e+24  8.502e+23 -8.581e+23 -3.604e+23  7.136e+21
#st1 rk1 dp1 st2 rk2 dp2
252 -147  89 161  -1  57
#pdc pclvd piso
 92   8   0

#filename
DCZ.data
#dt   npts  dist   Az   Zcor VR
1.000  120  97.8 195.2   59 -2.696e+01
#data T          R          Z    synth T          R          Z
-8.422e-04  8.821e-04 -1.681e-03  1.287e-04  1.825e-03 -4.454e-03
-6.921e-04  1.491e-03 -9.732e-04  2.676e-05  2.277e-03 -3.496e-03
-5.011e-04  1.936e-03 -1.610e-04 -6.391e-05  2.514e-03 -2.368e-03
-2.879e-04  2.190e-03  6.910e-04 -1.385e-04  2.536e-03 -1.186e-03
-7.204e-05  2.241e-03  1.514e-03 -1.943e-04  2.358e-03 -5.247e-05
 1.280e-04  2.095e-03  2.243e-03 -2.301e-04  2.013e-03  9.425e-04
 2.962e-04  1.777e-03  2.818e-03 -2.466e-04  1.549e-03  1.735e-03
 4.201e-04  1.321e-03  3.195e-03 -2.454e-04  1.020e-03  2.293e-03
 4.919e-04  7.736e-04  3.348e-03 -2.294e-04  4.740e-04  2.605e-03
 5.089e-04  1.840e-04  3.268e-03 -2.018e-04 -4.232e-05  2.686e-03
 4.732e-04 -3.971e-04  2.967e-03 -1.664e-04 -4.934e-04  2.565e-03
 3.916e-04 -9.230e-04  2.475e-03 -1.267e-04 -8.540e-04  2.285e-03
 2.744e-04 -1.354e-03  1.837e-03 -8.614e-05 -1.110e-03  1.895e-03
 1.350e-04 -1.663e-03  1.109e-03 -4.757e-05 -1.258e-03  1.442e-03
-1.216e-05 -1.830e-03  3.499e-04 -1.329e-05 -1.303e-03  9.741e-04
-1.525e-04 -1.853e-03 -3.792e-04  1.509e-05 -1.257e-03  5.290e-04
-2.727e-04 -1.738e-03 -1.024e-03  3.667e-05 -1.140e-03  1.375e-04
-3.620e-04 -1.503e-03 -1.540e-03  5.114e-05 -9.694e-04 -1.793e-04
-4.130e-04 -1.173e-03 -1.895e-03  5.881e-05 -7.677e-04 -4.100e-04
-4.220e-04 -7.797e-04 -2.073e-03  6.038e-05 -5.541e-04 -5.523e-04
-3.895e-04 -3.574e-04 -2.074e-03  5.691e-05 -3.460e-04 -6.113e-04
-3.197e-04  6.092e-05 -1.910e-03  4.964e-05 -1.573e-04 -5.978e-04
-2.199e-04  4.447e-04 -1.609e-03  3.987e-05  1.913e-06 -5.267e-04
-9.982e-05  7.687e-04 -1.206e-03  2.888e-05  1.256e-04 -4.151e-04
 2.967e-05  1.014e-03 -7.440e-04  1.780e-05  2.116e-04 -2.801e-04
 1.574e-04  1.171e-03 -2.660e-04  7.573e-06  2.606e-04 -1.382e-04
 2.731e-04  1.235e-03  1.862e-04 -1.078e-06  2.765e-04 -3.436e-06
 3.679e-04  1.212e-03  5.762e-04 -7.688e-06  2.647e-04  1.130e-04
 4.353e-04  1.111e-03  8.758e-04 -1.203e-05  2.320e-04  2.031e-04
 4.711e-04  9.481e-04  1.066e-03 -1.409e-05  1.854e-04  2.625e-04
 4.740e-04  7.424e-04  1.141e-03 -1.406e-05  1.318e-04  2.900e-04
 4.450e-04  5.136e-04  1.101e-03 -1.225e-05  7.764e-05  2.870e-04
 3.874e-04  2.812e-04  9.603e-04 -9.064e-06  2.798e-05  2.573e-04
 3.064e-04  6.273e-05  7.383e-04 -4.974e-06 -1.327e-05  2.063e-04
 2.082e-04 -1.274e-04  4.606e-04 -4.430e-07 -4.357e-05  1.404e-04
 1.000e-04 -2.787e-04  1.555e-04  4.093e-06 -6.175e-05  6.598e-05
-1.072e-05 -3.851e-04 -1.485e-04  8.259e-06 -6.785e-05 -1.038e-05
-1.169e-04 -4.448e-04 -4.251e-04  1.176e-05 -6.293e-05 -8.301e-05
-2.120e-04 -4.599e-04 -6.526e-04  1.439e-05 -4.882e-05 -1.472e-04
-2.905e-04 -4.358e-04 -8.150e-04  1.602e-05 -2.787e-05 -1.994e-04
-3.484e-04 -3.802e-04 -9.029e-04  1.665e-05 -2.668e-06 -2.375e-04
-3.831e-04 -3.027e-04 -9.142e-04  1.631e-05  2.418e-05 -2.604e-04
-3.935e-04 -2.130e-04 -8.533e-04  1.511e-05  5.027e-05 -2.683e-04
-3.803e-04 -1.208e-04 -7.303e-04  1.322e-05  7.354e-05 -2.625e-04
-3.455e-04 -3.470e-05 -5.598e-04  1.081e-05  9.239e-05 -2.447e-04
-2.924e-04  3.850e-05 -3.591e-04  8.090e-06  1.057e-04 -2.173e-04
-2.251e-04  9.394e-05 -1.469e-04  5.241e-06  1.130e-04 -1.832e-04
-1.484e-04  1.290e-04  5.914e-05  2.438e-06  1.142e-04 -1.450e-04
-6.755e-05  1.431e-04  2.432e-04 -1.731e-07  1.097e-04 -1.052e-04
 1.240e-05  1.378e-04  3.929e-04 -2.478e-06  1.002e-04 -6.632e-05
 8.665e-05  1.160e-04  4.996e-04 -4.398e-06  8.668e-05 -3.011e-05
 1.510e-04  8.168e-05  5.593e-04 -5.890e-06  7.031e-05  1.937e-06
 2.020e-04  3.962e-05  5.722e-04 -6.944e-06  5.227e-05  2.885e-05
 2.372e-04 -5.444e-06  5.423e-04 -7.575e-06  3.371e-05  5.014e-05
 2.553e-04 -4.903e-05  4.767e-04 -7.822e-06  1.568e-05  6.573e-05
 2.561e-04 -8.733e-05  3.848e-04 -7.739e-06 -9.568e-07  7.587e-05
 2.402e-04 -1.175e-04  2.771e-04 -7.388e-06 -1.552e-05  8.114e-05
 2.096e-04 -1.377e-04  1.644e-04 -6.835e-06 -2.756e-05  8.227e-05
 1.667e-04 -1.472e-04  5.677e-05 -6.145e-06 -3.686e-05  8.011e-05
 1.149e-04 -1.465e-04 -3.717e-05 -5.376e-06 -4.336e-05  7.553e-05
 5.774e-05 -1.368e-04 -1.109e-04 -4.579e-06 -4.723e-05  6.937e-05
-9.172e-07 -1.198e-04 -1.605e-04 -3.793e-06 -4.873e-05  6.238e-05
-5.724e-05 -9.784e-05 -1.842e-04 -3.048e-06 -4.824e-05  5.520e-05
-1.076e-04 -7.326e-05 -1.829e-04 -2.365e-06 -4.617e-05  4.829e-05

#filename
JCZ.data
#dt   npts  dist   Az   Zcor VR
1.000  120 120.2  60.3   64  6.521e+01
#data T          R          Z    synth T          R          Z
 3.173e-04 -1.866e-04  5.984e-04 -1.751e-04  4.702e-05 -1.949e-04
 2.897e-05 -4.703e-06  5.284e-04 -3.309e-04 -5.390e-05 -2.311e-04
-3.564e-04  2.074e-04  3.915e-04 -5.395e-04 -1.721e-04 -2.637e-04
-8.187e-04  4.385e-04  1.900e-04 -7.942e-04 -3.041e-04 -2.882e-04
-1.326e-03  6.742e-04 -6.732e-05 -1.082e-03 -4.447e-04 -2.993e-04
-1.840e-03  8.984e-04 -3.655e-04 -1.385e-03 -5.872e-04 -2.918e-04
-2.311e-03  1.094e-03 -6.836e-04 -1.676e-03 -7.235e-04 -2.606e-04
-2.690e-03  1.243e-03 -9.968e-04 -1.928e-03 -8.443e-04 -2.016e-04
-2.927e-03  1.332e-03 -1.277e-03 -2.106e-03 -9.401e-04 -1.119e-04
-2.980e-03  1.347e-03 -1.496e-03 -2.174e-03 -1.002e-03  9.521e-06
-2.814e-03  1.281e-03 -1.628e-03 -2.101e-03 -1.021e-03  1.614e-04
-2.408e-03  1.131e-03 -1.650e-03 -1.856e-03 -9.916e-04  3.397e-04
-1.762e-03  9.009e-04 -1.549e-03 -1.418e-03 -9.096e-04  5.374e-04
-8.924e-04  5.997e-04 -1.318e-03 -7.762e-04 -7.747e-04  7.444e-04
